dim_1,dim_2,ava_s_1,ava_s_2
0.0,0.0,0.0,0.0
0.0,0.0,5.0,1.0
0.0,0.0,3.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0
0.0,0.0,0.0,2.0
6.0,11.0,59.0,89.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,4.0
0.0,0.0,6.0,0.0
0.0,0.0,0.0,1.0
3.0,0.0,39.0,0.0
0.0,3.0,3.0,100.0
0.0,0.0,0.0,2.0
2.0,0.0,12.0,2.0
0.0,0.0,0.0,0.0
0.0,0.0,6.0,1.0
0.0,0.0,1.0,0.0
0.0,4.0,0.0,17.0
0.0,0.0,4.0,0.0
0.0,7.0,1.0,44.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,6.0
0.0,0.0,0.0,3.0
6.0,0.0,60.0,3.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,3.0
1.0,0.0,5.0,0.0
0.0,0.0,0.0,2.0
2.0,0.0,6.0,3.0
8.0,0.0,134.0,1.0
0.0,0.0,1.0,0.0
0.0,12.0,0.0,88.0
1.0,0.0,4.0,0.0
0.0,2.0,4.0,8.0
3.0,0.0,8.0,0.0
0.0,0.0,0.0,3.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,1.0,6.0
0.0,0.0,0.0,1.0
5.0,0.0,61.0,0.0
2.0,1.0,12.0,7.0
0.0,0.0,0.0,8.0
0.0,0.0,2.0,0.0
0.0,0.0,6.0,1.0
3.0,0.0,19.0,0.0
4.0,0.0,35.0,5.0
0.0,0.0,9.0,0.0
0.0,9.0,0.0,164.0
0.0,1.0,5.0,6.0
0.0,0.0,2.0,0.0
0.0,0.0,0.0,4.0
0.0,0.0,1.0,6.0
0.0,2.0,0.0,21.0
6.0,0.0,80.0,0.0
0.0,9.0,2.0,76.0
0.0,0.0,3.0,5.0
0.0,0.0,0.0,0.0
0.0,5.0,2.0,30.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,4.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
2.0,0.0,15.0,0.0
0.0,1.0,0.0,5.0
0.0,3.0,6.0,19.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,3.0,2.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,2.0
0.0,1.0,5.0,30.0
0.0,0.0,0.0,2.0
0.0,0.0,5.0,1.0
0.0,0.0,1.0,0.0
0.0,9.0,0.0,25.0
2.0,0.0,4.0,3.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,2.0
0.0,2.0,2.0,17.0
0.0,3.0,0.0,13.0
2.0,0.0,4.0,0.0
0.0,0.0,0.0,4.0
4.0,0.0,21.0,0.0
0.0,0.0,0.0,3.0
2.0,0.0,27.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,3.0,0.0,36.0
1.0,0.0,6.0,2.0
3.0,0.0,30.0,0.0
0.0,0.0,0.0,2.0
1.0,0.0,11.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,2.0,6.0
0.0,4.0,0.0,20.0
0.0,0.0,5.0,2.0
3.0,0.0,41.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0
0.0,6.0,1.0,57.0
0.0,0.0,0.0,2.0
0.0,0.0,3.0,2.0
0.0,0.0,0.0,3.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,4.0,2.0
0.0,0.0,11.0,2.0
0.0,7.0,1.0,82.0
0.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,2.0,2.0
0.0,0.0,0.0,1.0
9.0,0.0,89.0,0.0
0.0,2.0,0.0,7.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,2.0
3.0,0.0,28.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,1.0,5.0
0.0,0.0,0.0,0.0
3.0,3.0,20.0,7.0
0.0,0.0,4.0,0.0
0.0,0.0,1.0,2.0
